HRR #,HRR Name,State,"Total, Age, sex & race-adjusted","Total, Price, age, sex & race-adjusted","Hospital & skilled nursing facility, Age, sex & race-adjusted","Hospital & skilled nursing facility, Price, age, sex & race-adjusted","Physician, Age, sex & race-adjusted","Physician, Price, age, sex & race-adjusted","Outpatient facility, Age, sex & race-adjusted","Outpatient facility, Price, age, sex & race-adjusted","Home health agency, Age, sex & race-adjusted","Home health agency, Price, age, sex & race-adjusted","Hospice, Age, sex & race-adjusted","Hospice, Price, age, sex & race-adjusted","Durable medical equipment, Age, sex & race-adjusted","Durable medical equipment, Price, age, sex & race-adjusted"
200,Topeka,KS,"57,079 ","8,551 ","9,404 ","3,705 ","4,293 ","2,156 ","2,259 ","1,957 ","2,096 ",237 ,256 ,283 ,306 ,216 ,196 
201,Wichita,KS,"157,104 ","8,919 ","9,792 ","4,025 ","4,566 ","2,331 ","2,389 ","1,754 ","1,960 ",310 ,344 ,255 ,289 ,257 ,255 
203,Covington,KY,"29,534 ","9,980 ","10,541 ","4,981 ","5,339 ","2,543 ","2,671 ","1,421 ","1,465 ",581 ,601 ,318 ,309 ,154 ,172 
204,Lexington,KY,"139,592 ","9,588 ","10,573 ","4,590 ","5,096 ","2,170 ","2,425 ","1,683 ","1,859 ",589 ,650 ,268 ,277 ,304 ,279 
205,Louisville,KY,"176,047 ","9,265 ","10,406 ","4,216 ","4,843 ","2,309 ","2,595 ","1,752 ","1,911 ",526 ,575 ,219 ,224 ,243 ,258 
207,Owensboro,KY,"17,278 ","9,043 ","9,963 ","4,349 ","4,662 ","2,161 ","2,503 ","1,712 ","1,932 ",400 ,452 ,211 ,213 ,215 ,201 
208,Paducah,KY,"48,930 ","8,790 ","10,261 ","4,075 ","4,982 ","2,176 ","2,469 ","1,674 ","1,881 ",465 ,523 ,167 ,193 ,235 ,216 
209,Alexandria,LA,"33,271 ","10,759 ","12,284 ","4,827 ","5,827 ","2,359 ","2,436 ","1,623 ","1,835 ","1,089 ","1,238 ",665 ,780 ,234 ,212 
210,Baton Rouge,LA,"55,771 ","9,910 ","10,887 ","3,965 ","4,521 ","2,598 ","2,683 ","1,764 ","1,941 ",833 ,906 ,565 ,641 ,191 ,193 
212,Houma,LA,"25,828 ","9,295 ","10,481 ","3,907 ","4,593 ","2,199 ","2,292 ","1,873 ","2,154 ",749 ,844 ,310 ,367 ,252 ,229 
213,Lafayette,LA,"66,864 ","9,799 ","11,227 ","4,209 ","5,122 ","2,466 ","2,588 ","1,631 ","1,854 ",829 ,945 ,432 ,503 ,230 ,210 
214,Lake Charles,LA,"28,250 ","9,397 ","10,642 ","3,844 ","4,620 ","2,246 ","2,344 ","1,694 ","1,923 ",822 ,947 ,580 ,617 ,240 ,218 
216,Metairie,LA,"29,072 ","10,672 ","11,456 ","4,337 ","4,786 ","2,638 ","2,712 ","2,192 ","2,363 ",879 ,940 ,417 ,435 ,200 ,206 
217,Monroe,LA,"28,540 ","11,096 ","12,654 ","4,734 ","5,733 ","2,633 ","2,709 ","1,818 ","2,071 ","1,136 ","1,291 ",494 ,583 ,267 ,242 
218,New Orleans,LA,"29,669 ","10,026 ","10,100 ","4,428 ","4,265 ","2,299 ","2,338 ","1,963 ","2,097 ",683 ,727 ,442 ,451 ,161 ,170 
219,Shreveport,LA,"74,333 ","10,482 ","11,681 ","4,712 ","5,530 ","2,498 ","2,551 ","1,749 ","1,929 ",866 ,955 ,405 ,470 ,227 ,208 
220,Slidell,LA,"15,843 ","10,659 ","11,759 ","4,550 ","5,212 ","2,505 ","2,639 ","2,002 ","2,179 ",870 ,955 ,514 ,574 ,245 ,238 
221,Bangor,ME,"55,281 ","9,031 ","9,485 ","3,892 ","3,942 ","1,463 ","1,727 ","2,917 ","3,042 ",354 ,364 ,213 ,231 ,207 ,191 
222,Portland,ME,"126,334 ","8,271 ","8,456 ","3,393 ","3,453 ","1,944 ","2,091 ","1,995 ","1,992 ",466 ,462 ,318 ,315 ,168 ,156 
223,Baltimore,MD,"285,206 ","11,289 ","9,675 ","5,143 ","3,708 ","3,010 ","2,848 ","2,337 ","2,337 ",383 ,382 ,254 ,240 ,161 ,173 
225,Salisbury,MD,"83,780 ","10,086 ","9,680 ","4,278 ","3,908 ","2,864 ","2,784 ","2,018 ","2,073 ",391 ,400 ,304 ,296 ,203 ,186 
226,Takoma Park,MD,"77,199 ","9,808 ","8,713 ","4,184 ","3,405 ","3,413 ","3,128 ","1,535 ","1,510 ",321 ,317 ,287 ,279 ,131 ,139 
227,Boston,MA,"507,963 ","11,098 ","9,560 ","5,239 ","4,241 ","2,559 ","2,538 ","2,076 ","1,716 ",769 ,639 ,323 ,288 ,138 ,143 
230,Springfield,MA,"77,201 ","9,894 ","8,580 ","4,724 ","3,845 ","2,320 ","2,300 ","1,920 ","1,591 ",588 ,489 ,217 ,215 ,145 ,153 
231,Worcester,MA,"59,199 ","11,334 ","9,647 ","5,744 ","4,397 ","2,369 ","2,347 ","2,085 ","1,843 ",701 ,617 ,308 ,286 ,155 ,169 
232,Ann Arbor,MI,"117,763 ","10,257 ","10,315 ","4,646 ","4,615 ","2,465 ","2,515 ","1,999 ","2,011 ",588 ,596 ,375 ,392 ,184 ,186 
